Botanical Names,Genus,Family,Kingdom,Clade,Leaves,Flowers,Seed,Fruits,Stems,Petioles,Roots,Bark,Rhizome,Outcome
Bergenia stracheyi,Bergenia,Saxifragaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",0,0,0,0,0,0,1,0,0,0
Billia hippocastanum,Billia,Sapindaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,1,1,1,1,1,0,0,0,0
Bidens aurea,Bidens,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Bidens leucantha,Bidens,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,0,0,0,0
Bidens odorata,Bidens,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Borreria verticillata ,Borreria,Proteaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",1,1,1,1,1,1,1,1,1,1
Brachystegia nigerica,Brachystegia,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,1,1,0,0,0,0,0,0,0
Brassica napiformis,Brassica,Brassicaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,1,0,0,0
Brassica rapa,Brassica,Brassicaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,1,0,0,0
Brickellia cavanillesii,Brickellia,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,0,0,0,0
Brickellia squarrosa,Brickellia,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,0,0,0,0
Bridelia ndellensis Beille,Bridelia,Phyllanthaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Bryonia cretica,Bryonia,Cucurbitaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,1,1,1,1,1,0,0,0,0
Buchanania axillaris ,Buchanania,Anacardiaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,1,0,0
Buddleja stachyoides,Buddleja,Scrophulariaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Bursera simaruba ,Bursera,Burseraceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,0,1,0,0
Caesalpinia crista,Caesalpinia,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,1,0,0,0,0,0,0,0
Calamintha macrostema ,Calamintha,Lamiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,1,0,1,0,0,0
Calamintha umbrosa ,Calamintha,Lamiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,1,0,1,0,0,0
Calamus rotang ,Calamus,Arecaceae,Plantae,"Tracheophytes,Angiosperms,Monocots, Commelinids",0,0,0,0,0,0,1,0,0,0
Calea integrifolia ,Calea,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,1,0,0,0,0,0
Calystegia japonica ,Calystegia,Convolvulaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,1,0,0,0,0,0,0,0,0
Canarium zeylanicum ,Canarium,Burseraceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,0,1,0,0
Capparis iberica ,Capparis,Capparaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Capparis incana ,Capparis,Capparaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,1,0,0
Capraria biflora,Capraria,Capparaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Cardiospermum halicacabum,Cardiospermum,Sapindaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Carissa lanceolata,Carissa,Apocynaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Carmona retusa,Carmona,Boraginaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,1,0,0,0
Casearia glauca,Casearia,Casuarinaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,0,1,0,0
Casearia zeylanica,Casearia,Casuarinaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,1,0,1,1,0,0
Cassia alata ,Cassia,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Cassia fruticosa,Cassia,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,1,0,0,0,0,0,0,0,0
Cassia glauca ,Cassia,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Cassia siamea,Cassia,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Cassia sieberiana,Cassia,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,1,0,0,0,0,0,0,0,0
Cassia skinneri ,Cassia,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Cassia tomentosa,Cassia,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Cecropia peltata,Cecropia,Urticaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Centaurea salmantica,Centaurea,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,0,0,0,1
Cephalanthus glabratus,Cephalanthus,Rubiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,0,1,0,0
Cephalaria syriaca ,Cephalaria,Caprifoliaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,0,0,0,0
Ceratonia siliqua,Ceratonia,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,1,0,0,0,0,0,0
Chamaecrista hispidula,Chamaecrista,Fabaceae,Plantae," Angiosperm, Eudicots,Rosids",1,0,0,1,0,0,0,0,0,0
Chaptalia nutans ,Chaptalia,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Chasmanthera cordifolia ,Chasmanthera,Menispermaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots",1,0,0,0,1,0,1,0,0,0
Cheirolophus arbutifolius,Cheirolophus,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,0,0,0,0
Cheirolophus canariensis ,Cheirolophus,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,0,0,0,0
Cichorium endivia,Cichorium,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,1,0,0,0
Cirsium dipsacolips ,Cirsium,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,1,0,0,0
Cirsium mexicanum,Cirsium,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,1,0,0,0
Cirsium ochrocentrum ,Cirsium,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,1,0,0,0
Cirsium rhaphiolepis ,Cirsium,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,1,0,0,0,0,0,0,0,0
Cissampelos pareira,Cissampelos,Menispermaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots",0,0,0,0,0,0,1,0,0,0
Cissus populnea ,Cissus,Vitaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,1,0,0,0,0,0
Citrus sinensis ,Citrus,Rutaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,1,0,0,0,0,0,0
Cleome aspera ,Cleome,Cleomaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,1,1,1,1,1,1,1,1,1
Cnidoscolus aconitifolius ,Cnidoscolus,Euphorbiaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Cocculus villosus ,Cocculus,Menispermaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots",1,0,0,0,0,0,1,0,0,0
Cola gigantea,Cola,Malvaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,1,0,0,0,0,0,0,0
Colubrina glomerata ,Colubrina,Rhamnaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,0,1,0,0
Convallaria majalis,Convallaria,Asparagaceae,Plantae,"Tracheophytes, Angiosperm, Monocots",0,1,0,0,0,0,0,0,0,0
Convolvulus microphyllus ,Convolvulus,Convolvulaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,1,0,0,1,0,0
Conyza filaginoides ,Conyza,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Cordia alliodora,Cordia,Boraginaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,0,1,0,0
Cordia dichotoma,Cordia,Boraginaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,1,0,0,1,0,0
Cordia myxa,Cordia,Boraginaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,1,0,0,1,0,0
Cordia morelosana,Cordia,Boraginaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Cordia tinifolia,Cordia,Boraginaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Cornus officinalis,Cornus,Cornaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Costus mexicanus,Costus,Costaceae,Plantae,"Tracheophytes, Angiosperm, Monocots",1,0,0,0,0,0,1,0,0,0
Costus schlechteri,Costus,Costaceae,Plantae,"Tracheophytes, Angiosperm, Monocots",1,0,0,0,0,0,0,0,0,0
Cotoneaster aitchisonii,Cotoneaster,Rosaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,1,1,1,1,1,0,0,0,0
Coutarea latiflora,Coutarea,Rubiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Crataegus mexicana,Crataegus,Rosaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,1,0,0,0
Crataegus pubescens,Crataegus,Rosaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,1,1,1,1,1,1,1,1,1
Crotalaria medicaginea,Crotalaria,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,1,0,0,0,0,0,0,0
Croton draco,Croton,Euphorbiaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,1,0,0
Croton niveus,Croton,Euphorbiaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,0,1,0,0
Croton tonduzii,Croton,Euphorbiaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,0,1,0,0
Croton xalapensis,Croton,Euphorbiaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,0,1,0,0
Cucumeropsis mannii,Cucumeropsis,Cucurbitaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,1,0,0,0,0,0,0
Cucumis callosus,Cucumis,Cucurbitaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,1,0,0,0,0,0,0,0
Cucumis metuliferus,Cucumis,Cucurbitaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,1,0,0,0,0,0,0
Cuscuta chinensis,Cuscuta,Convolvulaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Cyathea divergens,Cyathea,Cyatheaceae,Plantae,Tracheophytes,0,0,0,0,0,0,0,1,0,0
Cyclanthera pedata,Cyclanthera,Cucurbitaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,1,0,0,0
Cymbalaria muralis,Cymbalaria,Plantaginaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Cynanchum schlechtendalii,Cynanchum,Apocynaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,0,0,1,0
Cyperus iria,Cyperus,Cyperaceae,Plantae,"Tracheophytes,Angiosperms,Monocots, Commelinids",0,0,0,0,0,0,1,0,0,0
Datura quercifolia,Datura,Solanaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Decalepis hamiltonii,Decalepis,Apocynaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,1,0,0,0
Decatropis bicolor,Decatropis,Rutaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Delonix regia,Delonix,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Dendrobium loddigesii,Dendrobium,Orchidaceae,Plantae,"Tracheophytes,Angiosperms,Monocots",0,0,0,0,1,0,0,0,0,0
Dendrobium nobile,Dendrobium,Orchidaceae,Plantae,"Tracheophytes,Angiosperms,Monocots",0,0,0,0,1,0,0,0,0,0
Descurainia sophia,Descurainia,Brassicaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,1,1,1,1,1,1,1,1,1
Desmodium motorium,Desmodium,Fabaceae,Plantae,"Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Dillenia indica,Dillenia,Dilleniaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",1,0,0,0,0,0,0,0,0,0
Dioscorea asclepiadea,Dioscorea,Dioscoreaceae,Plantae,"Tracheophytes,Angiosperms,Monocots",0,0,0,0,0,0,1,0,0,0
Dioscorea batatas,Dioscorea,Dioscoreaceae,Plantae,"Tracheophytes,Angiosperms,Monocots",0,0,0,0,0,0,1,0,0,0
Dioscorea gracillima,Dioscorea,Dioscoreaceae,Plantae,"Tracheophytes,Angiosperms,Monocots",0,1,0,0,0,0,0,0,0,0
Dioscorea hispida,Dioscorea,Dioscoreaceae,Plantae,"Tracheophytes,Angiosperms,Monocots",0,0,0,0,0,0,1,0,0,0
Dioscorea transversa,Dioscorea,Dioscoreaceae,Plantae,"Tracheophytes,Angiosperms,Monocots",1,1,1,1,1,1,1,1,1,1
Diospyros ebenaster,Diospyros,Ebenaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,1,0,0,0,0,0,0,0
Diospyros lotus,Diospyros,Ebenaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,1,0,0,0,0,0,0
Elaeocarpus serratus,Elaeocarpus,Elaeocarpaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,1,0,0,0,0,0,0
Elytropappus rhinocerotis,Elytropappus,Asteraceae,Plantae," Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,1,0,0,0
Embelia madagascariensis,Embelia,Primulaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Ephedra alata,Ephedra,Ephedraceae,Plantae,"Tracheophytes,Gymnosperms",1,1,1,1,1,1,0,0,0,0
Equisetum robustum,Equisetum,Equisetaceae,Plantae,Tracheophytes,1,0,0,0,0,0,0,0,0,0
Eriodendron anfractuosum,Eriodendron,Malvaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,1,1,1,1,1,1,1,1,1
Erythrina variegata,Erythrina,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Eupatorium odoratum,Eupatorium,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,0,0,0,0
Euphorbia antiquorum,Euphorbia,Euphorbiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,1,0,0,0,0,0,0
